iter	RMSE
0	22113.95946
1	21595.88457
2	21104.55134
3	20697.49535
4	20385.23297
5	20109.60692
6	19885.02253
7	19487.73353
8	19010.83041
9	18620.90446
10	18417.77719
11	18256.67072
12	17939.28927
13	17782.02236
14	17672.61611
15	17435.23501
16	17211.70272
17	17078.41324
18	16881.95384
19	16800.08309
20	16693.41827
21	16595.27884
22	16514.55705
23	16422.78031
24	16324.86635
25	16193.09316
26	16123.79816
27	16055.35276
28	15990.13972
29	15853.11206
30	15796.7033
31	15739.12437
32	15693.18234
33	15645.00927
34	15600.90422
35	15537.26798
36	15439.83857
37	15397.16645
38	15360.75048
39	15313.15717
40	15162.1593
41	15092.27987
42	14979.47622
43	14948.50317
44	14856.52259
45	14822.17064
46	14781.83969
47	14702.77876
48	14645.48987
49	14572.3183
50	14547.72416
51	14479.77736
52	14445.58483
53	14373.03867
54	14306.68017
55	14280.7136
56	14201.40115
57	14152.02471
58	14085.23533
59	14002.68943
60	13972.16305
61	13923.8269
62	13882.44996
63	13849.24361
64	13829.07694
65	13805.71632
66	13748.453
67	13665.25573
68	13613.10994
69	13575.54145
70	13557.41366
71	13490.78657
72	13444.19512
73	13411.38622
74	13393.59396
75	13348.39543
76	13329.40225
77	13301.80581
78	13247.75624
79	13198.77464
80	13178.94276
81	13068.65749
82	13043.38948
83	12998.80417
84	12978.61122
85	12948.20264
86	12915.35149
87	12881.49925
88	12846.47529
89	12818.33895
90	12798.45622
91	12783.60117
92	12749.17943
93	12674.44866
94	12643.50058
95	12568.0122
96	12546.20699
97	12515.10176
98	12489.49857
99	12454.21011
100	12440.65145
101	12422.88335
102	12398.28207
103	12382.17753
104	12363.75985
105	12326.59222
106	12301.42944
107	12285.67926
108	12270.12053
109	12253.34525
110	12227.92768
111	12215.96623
112	12188.08823
113	12170.97068
114	12131.23385
115	12088.79784
116	12075.0364
117	12046.77923
118	12006.74627
119	11990.38866
120	11956.47031
121	11939.44576
122	11914.97703
123	11900.38916
124	11875.65146
125	11863.06506
126	11844.31691
127	11823.36735
128	11776.4593
129	11724.67377
130	11693.4146
131	11667.43232
132	11645.29647
133	11615.30801
134	11602.61033
135	11590.84713
136	11580.92346
137	11561.43828
138	11532.12975
139	11512.57165
140	11502.38233
141	11484.08569
142	11446.78986
143	11422.07658
144	11391.74347
