iter	Passed	Remaining
0	169	169704
1	189	94461
2	207	69035
3	225	56099
4	244	48711
5	262	43543
6	280	39837
7	300	37311
8	321	35374
9	341	33762
10	359	32312
11	377	31067
12	399	30298
13	418	29486
14	437	28726
15	459	28246
16	479	27716
17	498	27212
18	520	26889
19	538	26410
20	557	25995
21	576	25614
22	595	25275
23	613	24968
24	632	24681
25	653	24485
26	673	24259
27	692	24028
28	711	23814
29	732	23682
30	750	23467
31	768	23253
32	786	23041
33	803	22836
34	822	22676
35	841	22538
36	863	22484
37	886	22447
38	908	22386
39	935	22445
40	964	22550
41	991	22605
42	1017	22652
43	1064	23136
44	1096	23276
45	1120	23241
46	1142	23161
47	1163	23066
48	1184	22983
49	1203	22864
50	1221	22738
51	1242	22643
52	1259	22513
53	1279	22419
54	1300	22349
55	1317	22214
56	1337	22127
57	1357	22052
58	1379	21993
59	1399	21926
60	1417	21822
61	1436	21734
62	1454	21637
63	1473	21550
64	1490	21442
65	1508	21353
66	1527	21265
67	1547	21213
68	1566	21137
69	1585	21062
70	1604	20989
71	1622	20906
72	1641	20842
73	1660	20783
74	1678	20704
75	1699	20663
76	1717	20584
77	1736	20529
78	1754	20458
79	1773	20394
80	1791	20326
81	1811	20281
82	1830	20218
83	1849	20163
84	1866	20093
85	1885	20043
86	1903	19980
87	1921	19911
88	1940	19863
89	1960	19820
90	1979	19777
91	1998	19725
92	2019	19698
93	2040	19666
94	2058	19606
95	2077	19561
96	2096	19517
97	2114	19463
98	2133	19419
99	2154	19392
100	2172	19334
101	2192	19299
102	2210	19247
103	2227	19193
104	2247	19156
105	2268	19132
106	2287	19091
107	2305	19044
108	2324	19000
109	2342	18953
110	2360	18907
111	2380	18872
112	2399	18832
113	2416	18781
114	2434	18735
115	2455	18711
116	2473	18670
117	2492	18629
118	2511	18592
119	2530	18559
120	2551	18538
121	2572	18515
122	2590	18473
123	2608	18430
124	2628	18402
125	2647	18367
126	2666	18331
127	2688	18316
128	2709	18291
129	2728	18260
130	2747	18227
131	2767	18196
132	2789	18185
133	2808	18148
134	2825	18104
135	2843	18062
136	2862	18029
137	2882	18002
138	2903	17988
139	2927	17983
140	2947	17956
141	2967	17927
142	2987	17906
143	3007	17876
144	3030	17870
145	3052	17855
146	3074	17837
147	3093	17808
148	3115	17791
149	3134	17762
150	3155	17742
151	3174	17707
152	3192	17672
153	3211	17643
154	3231	17617
155	3250	17587
156	3269	17555
157	3290	17534
158	3309	17502
159	3329	17480
160	3348	17448
161	3369	17431
162	3389	17406
163	3410	17387
164	3432	17368
165	3451	17341
166	3470	17310
167	3488	17277
168	3506	17243
169	3526	17217
170	3546	17191
171	3565	17162
172	3583	17129
173	3601	17095
174	3619	17063
175	3637	17030
176	3656	17001
177	3675	16975
178	3694	16943
179	3713	16917
180	3734	16898
181	3754	16875
182	3772	16843
183	3792	16818
184	3811	16791
185	3830	16764
186	3851	16744
187	3869	16711
188	3887	16680
189	3904	16646
190	3923	16616
191	3940	16583
192	3958	16552
193	3977	16525
194	3998	16506
195	4017	16479
196	4036	16454
197	4055	16425
198	4076	16409
199	4099	16397
200	4123	16390
201	4144	16372
202	4164	16350
203	4183	16325
204	4202	16298
205	4221	16269
206	4240	16245
207	4258	16215
208	4277	16187
209	4296	16161
210	4316	16140
211	4336	16119
212	4354	16090
213	4373	16064
214	4392	16036
215	4409	16006
216	4428	15980
217	4447	15954
218	4469	15938
219	4487	15910
220	4506	15884
221	4526	15864
222	4546	15840
223	4564	15811
224	4583	15786
225	4602	15761
226	4620	15735
227	4638	15706
228	4656	15678
229	4677	15658
230	4698	15640
231	4716	15613
232	4734	15585
233	4753	15559
234	4771	15531
235	4789	15505
236	4811	15488
237	4828	15460
238	4846	15432
239	4866	15409
240	4884	15384
241	4902	15355
242	4920	15329
243	4942	15314
244	4962	15293
245	4982	15271
246	5001	15247
247	5021	15225
248	5038	15197
249	5056	15169
250	5076	15147
251	5096	15128
252	5116	15108
253	5135	15084
254	5157	15068
255	5178	15051
256	5199	15031
257	5218	15007
258	5236	14982
259	5255	14958
260	5274	14935
261	5292	14907
262	5309	14879
263	5329	14858
264	5348	14834
265	5367	14810
266	5386	14787
267	5404	14762
268	5422	14736
269	5441	14711
270	5460	14688
271	5478	14663
272	5498	14642
273	5518	14621
274	5536	14596
275	5555	14572
276	5574	14549
277	5592	14524
278	5612	14503
279	5630	14478
280	5650	14456
281	5669	14434
282	5687	14409
283	5707	14388
284	5727	14367
285	5749	14353
286	5768	14331
287	5787	14308
288	5808	14290
289	5827	14267
290	5848	14249
291	5869	14231
292	5890	14214
293	5912	14197
294	5931	14174
295	5950	14152
296	5969	14129
297	5989	14109
298	6009	14088
299	6028	14066
300	6049	14047
301	6067	14023
302	6085	13998
303	6106	13981
304	6127	13963
305	6145	13938
306	6166	13919
307	6189	13905
308	6212	13892
309	6238	13885
310	6262	13873
311	6280	13848
312	6299	13826
313	6320	13808
314	6341	13790
315	6363	13774
316	6382	13751
317	6401	13728
318	6420	13706
319	6439	13683
320	6456	13657
321	6475	13634
322	6492	13608
323	6513	13589
324	6533	13569
325	6553	13549
326	6573	13529
327	6591	13504
328	6611	13484
329	6629	13459
330	6646	13434
331	6666	13412
332	6683	13387
333	6703	13366
334	6723	13347
335	6743	13325
336	6763	13305
337	6781	13281
338	6800	13260
339	6819	13238
340	6838	13215
341	6856	13191
342	6875	13168
343	6893	13146
344	6913	13125
345	6934	13107
346	6952	13084
347	6970	13059
348	6988	13035
349	7007	13014
350	7024	12988
351	7042	12964
352	7062	12944
353	7081	12922
354	7099	12899
355	7119	12879
356	7136	12853
357	7153	12829
358	7172	12806
359	7190	12782
360	7208	12759
361	7228	12739
362	7250	12722
363	7275	12712
364	7302	12705
365	7324	12687
366	7342	12665
367	7363	12645
368	7381	12622
369	7398	12598
370	7415	12572
371	7438	12556
372	7458	12537
373	7476	12513
374	7496	12494
375	7518	12476
376	7537	12456
377	7555	12433
378	7575	12411
379	7594	12390
380	7612	12367
381	7632	12347
382	7651	12325
383	7669	12303
384	7689	12283
385	7709	12263
386	7729	12243
387	7747	12220
388	7765	12198
389	7786	12179
390	7805	12157
391	7823	12134
392	7843	12114
393	7864	12095
394	7883	12075
395	7904	12055
396	7921	12032
397	7940	12010
398	7962	11993
399	7983	11975
400	8001	11952
401	8019	11929
402	8037	11906
403	8056	11884
404	8075	11864
405	8095	11844
406	8115	11824
407	8137	11806
408	8156	11786
409	8178	11768
410	8195	11745
411	8212	11721
412	8234	11703
413	8255	11685
414	8274	11664
415	8294	11643
416	8314	11623
417	8334	11604
418	8356	11587
419	8378	11570
420	8397	11549
421	8424	11538
422	8462	11543
423	8485	11527
424	8506	11508
425	8528	11491
426	8549	11472
427	8568	11451
428	8588	11431
429	8609	11413
430	8631	11395
431	8652	11375
432	8674	11358
433	8693	11338
434	8713	11317
435	8734	11298
436	8753	11278
437	8776	11261
438	8795	11239
439	8814	11219
440	8833	11196
441	8852	11176
442	8873	11156
443	8891	11134
444	8912	11115
445	8931	11094
446	8952	11075
447	8971	11054
448	8991	11033
449	9010	11013
450	9030	10992
451	9048	10970
452	9069	10951
453	9089	10931
454	9107	10908
455	9125	10886
456	9144	10865
457	9162	10843
458	9183	10823
459	9201	10801
460	9221	10781
461	9241	10761
462	9259	10738
463	9278	10717
464	9298	10697
465	9319	10679
466	9340	10660
467	9359	10639
468	9381	10621
469	9401	10601
470	9422	10582
471	9444	10565
472	9463	10544
473	9484	10525
474	9505	10505
475	9522	10482
476	9542	10462
477	9561	10441
478	9582	10422
479	9601	10402
480	9621	10381
481	9641	10361
482	9659	10338
483	9675	10315
484	9695	10294
485	9715	10275
486	9734	10254
487	9754	10234
488	9773	10212
489	9790	10190
490	9809	10168
491	9828	10147
492	9846	10125
493	9864	10104
494	9883	10083
495	9902	10061
496	9919	10038
497	9937	10017
498	9956	9996
499	9977	9977
500	9994	9954
501	10012	9932
502	10031	9911
503	10050	9890
504	10067	9868
505	10086	9847
506	10104	9825
507	10122	9803
508	10141	9783
509	10163	9764
510	10181	9743
511	10198	9720
512	10215	9697
513	10235	9677
514	10253	9656
515	10272	9635
516	10290	9614
517	10309	9593
518	10329	9573
519	10348	9552
520	10368	9532
521	10388	9513
522	10406	9491
523	10424	9469
524	10446	9451
525	10467	9432
526	10490	9415
527	10509	9395
528	10528	9374
529	10549	9355
530	10570	9335
531	10588	9314
532	10605	9292
533	10624	9271
534	10644	9251
535	10664	9232
536	10682	9210
537	10700	9189
538	10719	9168
539	10740	9148
540	10759	9129
541	10778	9108
542	10797	9087
543	10816	9066
544	10833	9044
545	10850	9022
546	10869	9001
547	10889	8982
548	10911	8963
549	10932	8944
550	10950	8923
551	10969	8902
552	10987	8881
553	11008	8862
554	11026	8840
555	11043	8818
556	11063	8799
557	11083	8779
558	11101	8757
559	11119	8736
560	11137	8715
561	11154	8693
